Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-FEB-2024,49159.85,49184.6,47972.1,48089.1,2555484853,21690.07
29-FEB-2024,48098.65,48470.8,47548.8,48335.7,2436448233,38098.05
01-MAR-2024,48574.95,48830.5,48517.45,48790.6,1559681520,21023.88
02-MAR-2024,48985.2,49236.95,48947.3,49153.05,159002290,2003.63
04-MAR-2024,49273.7,49334.75,48971.15,49248.9,1253987447,25825.8
05-MAR-2024,49278.3,49381.65,48999.85,49114.9,1119061792,19121.22
06-MAR-2024,49213.7,49228.1,48092.65,48857.3,1447696052,23745.55
07-MAR-2024,48935.9,49182.05,48868.6,48966.15,856742709,20342.38
11-MAR-2024,49194.6,49201.2,48697.35,48774.65,884965948,20228.88
12-MAR-2024,48837.2,48891.2,47862.4,48086.85,1055143438,18538.62
13-MAR-2024,48190.05,48278,45656.85,45971.4,2101516926,25964.16
14-MAR-2024,45658.1,46979.75,45293.35,46901.2,1936551389,22798.55
15-MAR-2024,46904.45,47145.3,46062.05,46685.6,1707468620,26130.96
18-MAR-2024,46669.1,46847.95,46149.55,46501.65,986056355,17836.72
19-MAR-2024,46514.8,46536.55,45751.05,45926.3,934054756,15830.65
20-MAR-2024,46096.65,46234.7,45395.3,45919.9,954032983,16094.36
21-MAR-2024,46430.7,47071.15,46424.85,47033.55,848186888,16987.64
22-MAR-2024,46986.25,47371,46843.5,47312.85,1291519606,18339.19
26-MAR-2024,47200.25,47842.2,47193.65,47807.65,1102137209,22611.17
27-MAR-2024,47965.3,48135.35,47786.1,47837.35,1155809119,22636.81
28-MAR-2024,48131.4,48250.25,47785.2,48075.75,1212573697,19526.24
01-APR-2024,48463.15,48958.5,48388.85,48912.05,1284256923,18732.1
02-APR-2024,49117.3,49521.3,48918.45,49479.3,1433641113,23576.15
03-APR-2024,49398.95,49801.4,49252.7,49736.7,1563949342,24862.41
04-APR-2024,50101.1,50152.35,49605.8,49743.8,1803097706,19793.59
05-APR-2024,49791.75,50058.55,49678.75,50022.85,1487214531,19534.76
08-APR-2024,50355.55,50361.05,49760.25,50041.4,1503120081,22847.85
09-APR-2024,50279.1,50309.6,49744.15,49894.7,1006134315,18978.47
10-APR-2024,50075.4,50443.15,49963.2,50380.4,1286291159,20867.59
12-APR-2024,50339.2,50590.2,50022.05,50067.55,1892259764,20800.22
15-APR-2024,49105,49644.75,48785.85,49281,1673932286,20426.03
16-APR-2024,48993.35,49550.3,48842.95,49236.65,1805735092,18129.37
18-APR-2024,49532,49731.2,48893.25,48995.7,1494915709,18839.39
19-APR-2024,48548.4,48913.7,47952.7,48696.95,1474854521,17003.75
22-APR-2024,49118.1,49215.85,48916.15,49096.4,2494942592,20234
23-APR-2024,49396.45,49698.35,49291.9,49614.85,3649526754,24708.39
24-APR-2024,49855.15,50050.4,49807.3,49991.9,2471088453,24604.4
